date,diluted_shares_m,sbc_pct_rev,insider_net_flow_m
2011-08-18,125.0,15.2,0.0
2011-08-19,125.0,15.2,0.0
2011-08-22,125.0,15.2,0.0
2011-08-23,125.0,15.2,0.0
2011-08-24,125.0,15.2,0.0
2011-08-25,125.0,15.2,0.0
2011-08-26,125.0,15.2,0.0
2011-08-29,125.0,15.2,0.0
2011-08-30,125.0,15.2,0.0
2011-08-31,125.0,15.2,0.0
2011-09-01,125.0,15.2,0.0
2011-09-02,125.0,15.2,0.0
2011-09-06,125.0,15.2,0.0
2011-09-07,125.0,15.2,0.0
2011-09-08,125.0,15.2,0.0
2011-09-09,125.0,15.2,0.0
2011-09-12,125.0,15.2,0.0
2011-09-13,125.0,15.2,0.0
2011-09-14,125.0,15.2,0.0
2011-09-15,125.0,15.2,0.0
2011-09-16,125.0,15.2,0.0
2011-09-19,125.0,15.2,0.0
2011-09-20,125.0,15.2,0.0
2011-09-21,125.0,15.2,0.0
2011-09-22,125.0,15.2,0.0
2011-09-23,125.0,15.2,0.0
2011-09-26,125.0,15.2,0.0
2011-09-27,125.0,15.2,0.0
2011-09-28,125.0,15.2,0.0
2011-09-29,125.0,15.2,0.0
2011-09-30,125.0,15.2,0.0
2011-10-03,125.0,15.2,0.0
2011-10-04,125.0,15.2,0.0
2011-10-05,125.0,15.2,0.0
2011-10-06,125.0,15.2,0.0
2011-10-07,125.0,15.2,0.0
2011-10-10,125.0,15.2,0.0
2011-10-11,125.0,15.2,0.0
2011-10-12,125.0,15.2,0.0
2011-10-13,125.0,15.2,0.0
2011-10-14,125.0,15.2,0.0
2011-10-17,125.0,15.2,0.0
2011-10-18,125.0,15.2,0.0
2011-10-19,125.0,15.2,0.0
2011-10-20,125.0,15.2,0.0
2011-10-21,125.0,15.2,0.0
2011-10-24,125.0,15.2,0.0
2011-10-25,125.0,15.2,0.0
2011-10-26,125.0,15.2,0.0
2011-10-27,125.0,15.2,0.0
2011-10-28,125.0,15.2,0.0
2011-10-31,125.0,15.2,0.0
2011-11-01,125.0,15.2,0.0
2011-11-02,125.0,15.2,0.0
2011-11-03,125.0,15.2,0.0
2011-11-04,125.0,15.2,0.0
2011-11-07,125.0,15.2,0.0
2011-11-08,125.0,15.2,0.0
2011-11-09,125.0,15.2,0.0
2011-11-10,125.0,15.2,0.0
2011-11-11,125.0,15.2,0.0
2011-11-14,125.0,15.2,0.0
2011-11-15,125.0,15.2,0.0
2011-11-16,125.0,15.2,0.0
2011-11-17,125.0,15.2,0.0
2011-11-18,125.0,15.2,0.0
2011-11-21,125.0,15.2,0.0
2011-11-22,125.0,15.2,0.0
2011-11-23,125.0,15.2,0.0
2011-11-25,125.0,15.2,0.0
2011-11-28,125.0,15.2,0.0
2011-11-29,125.0,15.2,0.0
2011-11-30,125.0,15.2,0.0
2011-12-01,125.0,15.2,0.0
2011-12-02,125.0,15.2,0.0
2011-12-05,125.0,15.2,0.0
2011-12-06,125.0,15.2,0.0
2011-12-07,125.0,15.2,0.0
2011-12-08,125.0,15.2,0.0
2011-12-09,125.0,15.2,0.0
2011-12-12,125.0,15.2,0.0
2011-12-13,125.0,15.2,0.0
2011-12-14,125.0,15.2,0.0
2011-12-15,125.0,15.2,0.0
2011-12-16,125.0,15.2,0.0
2011-12-19,125.0,15.2,0.0
2011-12-20,125.0,15.2,0.0
2011-12-21,125.0,15.2,0.0
2011-12-22,125.0,15.2,0.0
2011-12-23,125.0,15.2,0.0
2011-12-27,125.0,15.2,0.0
2011-12-28,125.0,15.2,0.0
2011-12-29,125.0,15.2,0.0
2011-12-30,125.0,15.2,0.0
2012-01-03,125.0,15.2,0.0
2012-01-04,125.0,15.2,0.0
2012-01-05,125.0,15.2,0.0
2012-01-06,125.0,15.2,0.0
2012-01-09,125.0,15.2,0.0
2012-01-10,125.0,15.2,0.0
2012-01-11,125.0,15.2,0.0
2012-01-12,125.0,15.2,0.0
2012-01-13,125.0,15.2,0.0
2012-01-17,125.0,15.2,0.0
2012-01-18,125.0,15.2,0.0
2012-01-19,125.0,15.2,0.0
2012-01-20,125.0,15.2,0.0
2012-01-23,125.0,15.2,0.0
2012-01-24,125.0,15.2,0.0
2012-01-25,125.0,15.2,0.0
2012-01-26,125.0,15.2,0.0
2012-01-27,125.0,15.2,0.0
2012-01-30,125.0,15.2,0.0
2012-01-31,125.0,15.2,0.0
2012-02-01,125.0,15.2,0.0
2012-02-02,125.0,15.2,0.0
2012-02-03,125.0,15.2,0.0
2012-02-06,125.0,15.2,0.0
2012-02-07,125.0,15.2,0.0
2012-02-08,125.0,15.2,0.0
2012-02-09,125.0,15.2,0.0
2012-02-10,125.0,15.2,0.0
2012-02-13,125.0,15.2,0.0
2012-02-14,125.0,15.2,0.0
2012-02-15,125.0,15.2,0.0
2012-02-16,125.0,15.2,0.0
2012-02-17,125.0,15.2,0.0
2012-02-21,125.0,15.2,0.0
2012-02-22,125.0,15.2,0.0
2012-02-23,125.0,15.2,0.0
2012-02-24,125.0,15.2,0.0
2012-02-27,125.0,15.2,0.0
2012-02-28,125.0,15.2,0.0
2012-02-29,125.0,15.2,0.0
2012-03-01,125.0,15.2,0.0
2012-03-02,125.0,15.2,0.0
2012-03-05,125.0,15.2,0.0
2012-03-06,125.0,15.2,0.0
2012-03-07,125.0,15.2,0.0
2012-03-08,125.0,15.2,0.0
2012-03-09,125.0,15.2,0.0
2012-03-12,125.0,15.2,0.0
2012-03-13,125.0,15.2,0.0
2012-03-14,125.0,15.2,0.0
2012-03-15,125.0,15.2,0.0
2012-03-16,125.0,15.2,0.0
2012-03-19,125.0,15.2,0.0
2012-03-20,125.0,15.2,0.0
2012-03-21,125.0,15.2,0.0
2012-03-22,125.0,15.2,0.0
2012-03-23,125.0,15.2,0.0
2012-03-26,125.0,15.2,0.0
2012-03-27,125.0,15.2,0.0
2012-03-28,125.0,15.2,0.0
2012-03-29,125.0,15.2,0.0
2012-03-30,125.0,15.2,0.0
2012-04-02,125.0,15.2,0.0
2012-04-03,125.0,15.2,0.0
2012-04-04,125.0,15.2,0.0
2012-04-05,125.0,15.2,0.0
2012-04-09,125.0,15.2,0.0
2012-04-10,125.0,15.2,0.0
2012-04-11,125.0,15.2,0.0
2012-04-12,125.0,15.2,0.0
2012-04-13,125.0,15.2,0.0
2012-04-16,125.0,15.2,0.0
2012-04-17,125.0,15.2,0.0
2012-04-18,125.0,15.2,0.0
2012-04-19,125.0,15.2,0.0
2012-04-20,125.0,15.2,0.0
2012-04-23,125.0,15.2,0.0
2012-04-24,125.0,15.2,0.0
2012-04-25,125.0,15.2,0.0
2012-04-26,125.0,15.2,0.0
2012-04-27,125.0,15.2,0.0
2012-04-30,125.0,15.2,0.0
2012-05-01,125.0,15.2,0.0
2012-05-02,125.0,15.2,0.0
2012-05-03,125.0,15.2,0.0
2012-05-04,125.0,15.2,0.0
2012-05-07,125.0,15.2,0.0
2012-05-08,125.0,15.2,0.0
2012-05-09,125.0,15.2,0.0
2012-05-10,125.0,15.2,0.0
2012-05-11,125.0,15.2,0.0
2012-05-14,125.0,15.2,0.0
2012-05-15,125.0,15.2,0.0
2012-05-16,125.0,15.2,0.0
2012-05-17,125.0,15.2,0.0
2012-05-18,125.0,15.2,0.0
2012-05-21,125.0,15.2,0.0
2012-05-22,125.0,15.2,0.0
2012-05-23,125.0,15.2,0.0
2012-05-24,125.0,15.2,0.0
2012-05-25,125.0,15.2,0.0
2012-05-29,125.0,15.2,0.0
2012-05-30,125.0,15.2,0.0
2012-05-31,125.0,15.2,0.0
2012-06-01,125.0,15.2,0.0
2012-06-04,125.0,15.2,0.0
2012-06-05,125.0,15.2,0.0
2012-06-06,125.0,15.2,0.0
2012-06-07,125.0,15.2,0.0
2012-06-08,125.0,15.2,0.0
2012-06-11,125.0,15.2,0.0
2012-06-12,125.0,15.2,0.0
2012-06-13,125.0,15.2,0.0
2012-06-14,125.0,15.2,0.0
2012-06-15,125.0,15.2,0.0
2012-06-18,125.0,15.2,0.0
2012-06-19,125.0,15.2,0.0
2012-06-20,125.0,15.2,0.0
